GradeClassSeatNo,Account
60101,tpes10803
60102,tpes10804
60103,tpes10807
60104,tpes10808
60105,tpes10810
60106,tpes10812
60107,tpes10818
60108,tpes10841
60109,tpes10819
60110,tpes10820
60111,tpes10822
60112,tpes10823
60113,b47773777
60114,tpes10827
60115,tpes10829
60116,tpes10833
60117,tpes10834
60118,tpes10836
60201,tpes10801
60202,tpes10806
60203,tpes10813
60204,tpes10814
60205,tpes10815
60206,tpes10816
60207,tpes10840
60208,tpes10825
60209,tpes10830
60210,tpes10831
60211,tpes10832
60212,joann0516
60213,tpes10837
60214,tpes10838
60215,tpes10839
60217,twps108044
60218,tpes10826
60219,chcysps10830
50101,tpes10901
50102,tpes10904
50103,tpes10905
50104,tpes10907
50106,tpes10909
50107,tpes10913
50108,tpes10914
50109,tpes10915
50110,tpes10919
50111,tpes10920
50112,tpes10922
50113,tpes10925
50114,tpes10930
50115,tpes10931
50116,tpes10933
50117,tpes10934
50118,tpes10935
50119,lara0514
50120,tpes10942
50121,tpes10943
50201,tpes10902
50202,tpes10903
50203,tpes10906
50204,tpes10910
50205,tpes10911
50206,tpes10912
50207,tpes10916
50208,tpes10917
50209,tpes10918
50210,tpes10921
50211,tpes10923
50212,tpes10924
50213,tpes10945
50214,tpes10926
50215,tpes10927
50216,tpes10928
50217,yujei0607
50218,tpes10938
50219,tpes10939
50220,tpes10940
50221,s109118
40101,tpes11001
40102,tpes11002
40103,tpes11004
40105,tpes11007
40106,tpes11010
40107,tpes11016
40108,tpes11019
40109,tpes11020
40110,tpes11021
40111,tpes11022
40112,tpes11025
40113,tpes11026
40114,tpes11028
40115,tpes11029
40116,tpes11030
40117,tpes11033
40118,tpes11035
40201,tpes11003
40202,tpes11006
40203,tpes11009
40204,tpes11011
40205,tpes11012
40206,tpes11013
40207,tpes11014
40208,tpes11015
40209,tpes11017
40210,pses110055
40211,tpes11018
40212,tpes11023
40214,tpes11027
40215,tpes11031
40216,tpes11032
40217,tpes11034
40218,tpes11036
40219,tpes11037
30101,tpes11104
30102,tpes11106
30103,tpes11110
30104,tpes11117
30105,willis30124
30106,tpes11128
30108,tpes11131
30109,tpes11134
30110,tpes11136
30111,tpes11102
30112,tpes11109
30113,tpes11111
30114,tpes11113
30115,tpes11116
30116,tpes11118
30117,tpes11122
30118,tpes11137
30201,tpes11101
30202,tpes11105
30203,tpes11108
30204,tpes11112
30205,tpes11115
30206,tpes11120
30207,tpes11121
30208,tpes11126
30209,tpes11129
30210,tpes11103
30211,tpes11107
30212,tpes11114
30213,tpes11123
30214,tpes11125
30215,tpes11127
30216,tpes11132
30217,tpes11133
30218,tpes11135
20101,tpes11201
20102,tpes11202
20103,tpes11203
20104,tpes11204
20105,tpes11205
20106,tpes11206
20107,tpes11207
20108,tpes11208
20109,tpes11209
20110,tpes11210
20112,tpes11212
20113,tpes11213
20114,tpes11214
20115,tpes11215
20116,tpes11216
20117,tpes11217
20118,tpes11218
20119,tpes11219
20120,tpes11220
20121,tpes11221
20122,tpes11222
20123,tpes11223
20124,tpes11224
20125,tpes11225
20126,chcses112002
